0	-1.28558	-1.53209	1	-2	2	-2	3	-2	4	-2	
0.001	-1.28558	-1.53209	1	-2	2	-2	3	-2	4	-2	
0.002	-1.28558	-1.53209	1	-2	2	-2	3	-2	4	-2	
0.003	-1.28558	-1.53209	1	-2	2	-2	3	-2	4	-2	
0.004	-1.28557	-1.5321	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.005	-1.28557	-1.5321	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.006	-1.28557	-1.5321	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.007	-1.28557	-1.53211	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.008	-1.28557	-1.53211	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.009	-1.28556	-1.53212	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.01	-1.28556	-1.53212	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.011	-1.28556	-1.53213	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.012	-1.28555	-1.53213	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.013	-1.28554	-1.53213	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.014	-1.28553	-1.53214	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.015	-1.28552	-1.53214	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.016	-1.28552	-1.53215	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.017	-1.28551	-1.53215	1	-2	2	-2	3	-2	4	-2	
0.018	-1.2855	-1.53216	1	-2	2	-2	3	-2	4	-2	
0.019	-1.28549	-1.53216	1	-2	2	-2	3	-2	4	-2	
0.02	-1.28548	-1.53217	1	-2	2	-2	3	-2	4	-2	
0.021	-1.28547	-1.53218	1	-2	2	-2	3	-2	4	-2	
0.022	-1.28546	-1.53219	1	-2	2	-2	3	-2	4	-2	
0.023	-1.28545	-1.5322	1	-2	2	-2	3	-2	4	-2	
0.024	-1.28544	-1.53221	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.025	-1.28543	-1.53222	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.026	-1.28542	-1.53224	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.027	-1.2854	-1.53225	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.028	-1.28539	-1.53226	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.029	-1.28538	-1.53227	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.03	-1.28536	-1.53229	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.031	-1.28535	-1.5323	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.032	-1.28533	-1.53231	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.033	-1.28531	-1.53232	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.034	-1.2853	-1.53233	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.035	-1.28528	-1.53235	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.036	-1.28526	-1.53236	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.037	-1.28524	-1.53237	1	-2	2	-2	3	-2	4	-2	
0.038	-1.28522	-1.53239	1	-2	2	-2	3	-2	4	-2	
0.039	-1.2852	-1.5324	1	-2	2	-2	3	-2	4	-2	
0.04	-1.28518	-1.53242	1	-2	2	-2	3	-2	4	-2	
0.041	-1.28516	-1.53244	1	-2	2	-2	3	-2	4	-2	
0.042	-1.28514	-1.53245	1	-2	2	-2	3	-2	4	-2	
0.043	-1.28512	-1.53247	1	-2	2	-2	3	-2	4	-2	
0.044	-1.2851	-1.53249	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.045	-1.28508	-1.53251	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.046	-1.28506	-1.53253	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.047	-1.28504	-1.53255	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.048	-1.28502	-1.53258	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.049	-1.28499	-1.5326	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.05	-1.28497	-1.53262	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.051	-1.28494	-1.53264	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.052	-1.28492	-1.53266	1	-2.00002	2	-2.00002	3	-2.00002	4	-2.00002	
0.053	-1.28489	-1.53268	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.054	-1.28486	-1.5327	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.055	-1.28483	-1.53272	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.056	-1.28481	-1.53274	1	-2.00001	2	-2.00001	3	-2.00001	4	-2.00001	
0.057	-1.28478	-1.53276	1	-2	2	-2	3	-2	4	-2	
0.058	-1.28475	-1.53278	1	-2	2	-2	3	-2	4	-2	
0.059	-1.28472	-1.53281	1	-2	2	-2	3	-2	4	-2	
0.06	-1.28469	-1.53283	1	-2	2	-2	3	-2	4	-2	
0.061	-1.28466	-1.53286	1	-2	2	-2	3	-2	4	-2	
0.062	-1.28463	-1.53288	1	-2	2	-2	3	-2	4	-2	
