Pt0	0.0050995	0.9999989028	-0.02198248888	
Pt1	0.005199	0.9999956393	-0.0435483671	
Pt2	0.0052985	0.9999902497	-0.06472105611	
Pt3	0.005398	0.9999827721	-0.0855222487	
Pt4	0.0054975	0.9999732425	-0.1059720655	
Pt5	0.005597	0.9999616947	-0.1260891946	
Pt6	0.0056965	0.9999481612	-0.1458910168	
Pt7	0.005796	0.9999326723	-0.1653937178	
Pt8	0.0058955	0.9999152572	-0.1846123891	
Pt9	0.005995	0.9998959434	-0.2035611188	
Pt10	0.0060945	0.9998747571	-0.2222530734	
Pt11	0.006194	0.9998517232	-0.2407005718	
Pt12	0.0062935	0.9998268654	-0.2589151528	
Pt13	0.006393	0.9998002064	-0.2769076351	
Pt14	0.0064925	0.9997717678	-0.294688173	
Pt15	0.006592	0.9997415702	-0.3122663063	
Pt16	0.0066915	0.9997096332	-0.3296510063	
Pt17	0.006791	0.9996759758	-0.346850717	
Pt18	0.0068905	0.9996406158	-0.3638733934	
Pt19	0.00699	0.9996035706	-0.3807265365	
Pt20	0.0070895	0.9995648566	-0.3974172249	
Pt21	0.007189	0.9995244897	-0.4139521441	
Pt22	0.0072885	0.9994824851	-0.4303376133	
Pt23	0.007388	0.9994388573	-0.4465796103	
Pt24	0.0074875	0.9993936203	-0.4626837939	
Pt25	0.007587	0.9993467876	-0.4786555249	
Pt26	0.0076865	0.9992983721	-0.4944998856	
Pt27	0.007786	0.9992483862	-0.5102216973	
Pt28	0.0078855	0.9991968419	-0.525825537	
Pt29	0.007985	0.9991437507	-0.5413157523	
Pt30	0.0080845	0.9990891237	-0.556696476	
Pt31	0.008184	0.9990329716	-0.5719716388	
Pt32	0.0082835	0.9989753047	-0.5871449815	
Pt33	0.008383	0.998916133	-0.6022200665	
Pt34	0.0084825	0.9988554661	-0.6172002879	
Pt35	0.008582	0.9987933132	-0.6320888816	
Pt36	0.0086815	0.9987296833	-0.646888934	
Pt37	0.008781	0.9986645851	-0.6616033909	
Pt38	0.0088805	0.998598027	-0.676235065	
Pt40	0.00898	0.998530017	-0.6907866437	
Pt41	0.0090795	0.998460563	-0.7052606953	
Pt42	0.009179	0.9983896726	-0.7196596762	
Pt43	0.0092785	0.9983173531	-0.7339859365	
Pt44	0.009378	0.9982436117	-0.7482417257	
Pt45	0.0094775	0.9981684553	-0.7624291979	
Pt46	0.009577	0.9980918905	-0.7765504169	
Pt47	0.0096765	0.9980139239	-0.7906073608	
Pt48	0.009776	0.9979345617	-0.8046019265	
Pt49	0.0098755	0.9978538101	-0.8185359334	
Pt50	0.009975	0.997771675	-0.8324111276	
Pt51	0.0100745	0.9976881622	-0.8462291856	
Pt52	0.010174	0.9976032773	-0.8599917173	
Pt53	0.0102735	0.9975170256	-0.8737002697	
Pt54	0.010373	0.9974294126	-0.8873563294	
Pt55	0.0104725	0.9973404434	-0.900961326	
Pt56	0.010572	0.997250123	-0.9145166345	
Pt57	0.0106715	0.9971584562	-0.9280235778	
Pt58	0.010771	0.9970654479	-0.9414834293	
Pt59	0.0108705	0.9969711025	-0.9548974149	
Pt60	0.01097	0.9968754248	-0.9682667155	
Pt61	0.0110695	0.9967784189	-0.9815924688	
Pt62	0.011169	0.9966800893	-0.9948757711	
Pt63	0.0112685	0.99658044	-1.008117679	
Pt64	0.011368	0.9964794752	-1.021319213	
Pt65	0.0114675	0.9963771988	-1.034481356	
Pt66	0.011567	0.9962736147	-1.047605056	
Pt67	0.0116665	0.9961687266	-1.060691229	
Pt68	0.011766	0.9960625383	-1.07374076	
Pt69	0.0118655	0.9959550534	-1.086754501	
Pt70	0.011965	0.9958462753	-1.099733279	
Pt71	0.0120645	0.9957362076	-1.11267789	
Pt72	0.012164	0.9956248536	-1.125589103	
Pt73	0.0122635	0.9955122165	-1.138467665	
Pt74	0.012363	0.9953982995	-1.151314294	
Pt75	0.0124625	0.995283106	-1.164129687	
Pt76	0.012562	0.9951666388	-1.176914519	
Pt77	0.0126615	0.995048901	-1.18966944	
Pt78	0.012761	0.9949298955	-1.202395082	
Pt79	0.0128605	0.9948096253	-1.215092056	
Pt80	0.01296	0.9946880931	-1.227760954	
Pt81	0.0130595	0.9945653018	-1.240402348	
Pt82	0.013159	0.9944412539	-1.253016793	
Pt83	0.0132585	0.9943159523	-1.265604828	
Pt84	0.013358	0.9941893994	-1.278166973	
Pt85	0.0134575	0.9940615979	-1.290703734	
Pt86	0.013557	0.9939325502	-1.303215601	
Pt87	0.0136565	0.9938022588	-1.315703049	
Pt88	0.013756	0.9936707261	-1.328166538	
Pt89	0.0138555	0.9935379545	-1.340606515	
Pt90	0.013955	0.9934039462	-1.353023415	
Pt91	0.0140545	0.9932687036	-1.365417658	
Pt92	0.014154	0.9931322288	-1.377789653	
Pt93	0.0142535	0.9929945241	-1.390139796	
Pt94	0.014353	0.9928555917	-1.402468472	
Pt95	0.0144525	0.9927154336	-1.414776055	
Pt96	0.014552	0.9925740519	-1.427062909	
Pt97	0.0146515	0.9924314488	-1.439329386	
Pt98	0.014751	0.9922876261	-1.451575829	
Pt99	0.0148505	0.9921425858	-1.463802572	
Pt100	0.01495	0.99199633	-1.476009937	
Pt101	0.0150495	0.9918488605	-1.488198241	
Pt102	0.015149	0.9917001792	-1.500367787	
Pt103	0.0152485	0.9915502879	-1.512518875	
Pt104	0.015348	0.9913991885	-1.524651794	
Pt105	0.0154475	0.9912468828	-1.536766824	
Pt106	0.015547	0.9910933725	-1.54886424	
Pt107	0.0156465	0.9909386594	-1.560944307	
Pt108	0.015746	0.9907827452	-1.573007285	
