Pt97	0.776	0.998698	0.0012327	6.90519e-05	
Pt98	0.784	0.998695	0.00123536	6.98417e-05	
Pt99	0.792	0.998691	0.00123803	7.06331e-05	
Pt100	0.8	0.998688	0.0012407	7.14263e-05	
Pt101	0.808	0.998684	0.00124338	7.22212e-05	
Pt102	0.816	0.998681	0.00124606	7.30179e-05	
Pt103	0.824	0.998677	0.00124875	7.38162e-05	
Pt104	0.832	0.998674	0.00125145	7.46163e-05	
Pt105	0.84	0.99867	0.00125415	7.54181e-05	
Pt106	0.848	0.998667	0.00125686	7.62216e-05	
Pt107	0.856	0.998663	0.00125957	7.70269e-05	
Pt108	0.864	0.99866	0.00126229	7.78338e-05	
Pt109	0.872	0.998656	0.00126502	7.86426e-05	
Pt110	0.88	0.998653	0.00126775	7.94531e-05	
Pt111	0.888	0.998649	0.00127048	8.02653e-05	
Pt112	0.896	0.998646	0.00127323	8.10793e-05	
Pt113	0.904	0.998642	0.00127597	8.1895e-05	
Pt114	0.912	0.998639	0.00127873	8.27125e-05	
Pt115	0.92	0.998635	0.00128149	8.35318e-05	
Pt116	0.928	0.998631	0.00128425	8.43528e-05	
Pt117	0.936	0.998628	0.00128703	8.51756e-05	
Pt118	0.944	0.998624	0.0012898	8.60002e-05	
Pt119	0.952	0.998621	0.00129259	8.68266e-05	
Pt120	0.96	0.998617	0.00129538	8.76547e-05	
Pt121	0.968	0.998613	0.00129817	8.84847e-05	
Pt122	0.976	0.99861	0.00130098	8.93164e-05	
Pt123	0.984	0.998606	0.00130378	9.01499e-05	
Pt124	0.992	0.998602	0.0013066	9.09853e-05	
Pt125	1	0.998599	0.00130942	9.18224e-05	
Pt126	1.008	0.998595	0.00131224	9.26613e-05	
Pt127	1.016	0.998591	0.00131508	9.35021e-05	
Pt128	1.024	0.998588	0.00131792	9.43446e-05	
Pt129	1.032	0.998584	0.00132076	9.5189e-05	
Pt130	1.04	0.99858	0.00132361	9.60352e-05	
Pt131	1.048	0.998577	0.00132647	9.68832e-05	
Pt132	1.056	0.998573	0.00132933	9.77331e-05	
Pt133	1.064	0.998569	0.0013322	9.85848e-05	
Pt134	1.072	0.998565	0.00133507	9.94383e-05	
Pt135	1.08	0.998562	0.00133796	0.000100294	
Pt136	1.088	0.998558	0.00134084	0.000101151	
Pt137	1.096	0.998554	0.00134374	0.00010201	
Pt138	1.104	0.99855	0.00134664	0.000102871	
Pt139	1.112	0.998547	0.00134954	0.000103734	
Pt140	1.12	0.998543	0.00135246	0.000104598	
Pt141	1.128	0.998539	0.00135538	0.000105465	
Pt142	1.136	0.998535	0.0013583	0.000106333	
Pt143	1.144	0.998532	0.00136123	0.000107203	
Pt144	1.152	0.998528	0.00136417	0.000108076	
Pt145	1.16	0.998524	0.00136711	0.00010895	
Pt146	1.168	0.99852	0.00137007	0.000109825	
Pt147	1.176	0.998516	0.00137302	0.000110703	
Pt148	1.184	0.998512	0.00137599	0.000111583	
Pt149	1.192	0.998509	0.00137895	0.000112464	
Pt150	1.2	0.998505	0.00138193	0.000113348	
Pt151	1.208	0.998501	0.00138491	0.000114233	
Pt152	1.216	0.998497	0.0013879	0.000115121	
Pt153	1.224	0.998493	0.0013909	0.00011601	
Pt154	1.232	0.998489	0.0013939	0.000116901	
Pt155	1.24	0.998485	0.00139691	0.000117794	
