Pt1	0.008	0.4993	0.50038	0.000320122	
Pt2	0.016	0.498601	0.500759	0.000640486	
Pt3	0.024	0.497902	0.501137	0.000961092	
Pt4	0.032	0.497204	0.501514	0.00128194	
Pt5	0.04	0.496506	0.501891	0.00160303	
Pt6	0.048	0.495808	0.502268	0.00192436	
Pt7	0.056	0.495111	0.502643	0.00224593	
Pt8	0.064	0.494414	0.503018	0.00256774	
Pt9	0.072	0.493718	0.503392	0.0028898	
Pt10	0.08	0.493023	0.503765	0.00321209	
Pt11	0.088	0.492328	0.504138	0.00353461	
Pt12	0.096	0.491633	0.50451	0.00385738	
Pt13	0.104	0.490939	0.504881	0.00418039	
Pt14	0.112	0.490245	0.505252	0.00450363	
Pt15	0.12	0.489551	0.505621	0.00482711	
Pt16	0.128	0.488859	0.505991	0.00515083	
Pt17	0.136	0.488166	0.506359	0.00547478	
Pt18	0.144	0.487474	0.506727	0.00579896	
Pt19	0.152	0.486783	0.507094	0.00612339	
Pt20	0.16	0.486092	0.50746	0.00644804	
Pt21	0.168	0.485402	0.507826	0.00677294	
Pt22	0.176	0.484712	0.50819	0.00709806	
Pt23	0.184	0.484022	0.508554	0.00742342	
Pt24	0.192	0.483333	0.508918	0.00774901	
Pt25	0.2	0.482645	0.509281	0.00807483	
Pt26	0.208	0.481957	0.509642	0.00840089	
Pt27	0.216	0.481269	0.510004	0.00872718	
Pt28	0.224	0.480582	0.510364	0.00905369	
Pt29	0.232	0.479896	0.510724	0.00938044	
Pt30	0.24	0.47921	0.511083	0.00970742	
Pt31	0.248	0.478524	0.511441	0.0100346	
Pt32	0.256	0.477839	0.511799	0.0103621	
Pt33	0.264	0.477155	0.512156	0.0106897	
Pt34	0.272	0.476471	0.512512	0.0110176	
Pt35	0.28	0.475787	0.512867	0.0113457	
Pt36	0.288	0.475104	0.513222	0.0116741	
Pt37	0.296	0.474422	0.513576	0.0120027	
Pt38	0.304	0.47374	0.513929	0.0123315	
Pt39	0.312	0.473058	0.514281	0.0126605	
Pt40	0.32	0.472377	0.514633	0.0129898	
Pt41	0.328	0.471697	0.514984	0.0133192	
Pt42	0.336	0.471017	0.515334	0.0136489	
Pt43	0.344	0.470338	0.515684	0.0139789	
Pt44	0.352	0.469659	0.516032	0.014309	
Pt45	0.36	0.46898	0.51638	0.0146394	
Pt46	0.368	0.468303	0.516728	0.01497	
Pt47	0.376	0.467625	0.517074	0.0153008	
Pt48	0.384	0.466948	0.51742	0.0156318	
Pt49	0.392	0.466272	0.517765	0.0159631	
Pt50	0.4	0.465596	0.518109	0.0162946	
Pt51	0.408	0.464921	0.518452	0.0166263	
Pt52	0.416	0.464247	0.518795	0.0169582	
Pt53	0.424	0.463573	0.519137	0.0172903	
Pt54	0.432	0.462899	0.519478	0.0176227	
Pt55	0.44	0.462226	0.519819	0.0179553	
Pt56	0.448	0.461553	0.520158	0.018288	
Pt57	0.456	0.460882	0.520497	0.0186211	
Pt58	0.464	0.46021	0.520836	0.0189543	
Pt59	0.472	0.459539	0.521173	0.0192877	
Pt60	0.48	0.458869	0.52151	0.0196214	
Pt61	0.488	0.458199	0.521846	0.0199553	
Pt62	0.496	0.45753	0.522181	0.0202893	
Pt63	0.504	0.456861	0.522515	0.0206236	
Pt64	0.512	0.456193	0.522849	0.0209582	
Pt65	0.52	0.455525	0.523182	0.0212929	
Pt66	0.528	0.454858	0.523514	0.0216278	
Pt67	0.536	0.454192	0.523845	0.021963	
Pt68	0.544	0.453526	0.524176	0.0222984	
Pt69	0.552	0.452861	0.524505	0.0226339	
